Temperature [°C]	0	0.31	0.67	0.96	1.25	1.6	1.89	2.22	2.57	2.87	3.22	3.52	3.83	4.13	4.43	4.77	5.1	5.44	5.74	6.05	6.39	6.7	6.98	7.63
19.999	0.717	0.706	0.706	0.699	0.693	0.698	0.701	0.698	0.702	0.711	0.701	0.707	0.719	0.715	0.739	0.771	0.843	0.932	1.052	1.105	1.237	1.277	1.296	1.333
19.999	0.713	0.706	0.703	0.699	0.692	0.697	0.702	0.698	0.703	0.709	0.7	0.707	0.722	0.713	0.738	0.772	0.843	0.933	1.052	1.104	1.234	1.276	1.297	1.334
20.009	0.718	0.706	0.702	0.699	0.692	0.696	0.702	0.697	0.702	0.708	0.7	0.707	0.719	0.714	0.738	0.772	0.842	0.93	1.052	1.105	1.236	1.274	1.296	1.332
20.01	0.715	0.707	0.703	0.699	0.691	0.696	0.702	0.696	0.702	0.708	0.7	0.705	0.718	0.713	0.739	0.771	0.842	0.932	1.05	1.106	1.238	1.273	1.296	1.335
20.042	0.715	0.704	0.702	0.699	0.691	0.695	0.702	0.697	0.702	0.709	0.698	0.707	0.719	0.715	0.738	0.771	0.843	0.933	1.051	1.103	1.235	1.276	1.294	1.333
20.045	0.716	0.704	0.703	0.699	0.691	0.696	0.703	0.696	0.702	0.707	0.7	0.704	0.718	0.715	0.737	0.771	0.843	0.932	1.052	1.106	1.236	1.275	1.295	1.332
20.095	0.714	0.706	0.702	0.698	0.691	0.695	0.701	0.694	0.705	0.708	0.7	0.707	0.719	0.715	0.739	0.771	0.843	0.931	1.051	1.107	1.236	1.271	1.297	1.329
20.098	0.716	0.705	0.705	0.698	0.691	0.697	0.701	0.696	0.702	0.709	0.698	0.706	0.719	0.717	0.738	0.769	0.841	0.932	1.051	1.107	1.237	1.273	1.294	1.332
20.166	0.714	0.706	0.705	0.699	0.689	0.696	0.702	0.696	0.701	0.709	0.699	0.707	0.72	0.715	0.74	0.769	0.844	0.931	1.054	1.106	1.236	1.271	1.294	1.333
20.17	0.714	0.707	0.704	0.7	0.691	0.697	0.7	0.696	0.702	0.71	0.701	0.706	0.72	0.715	0.739	0.771	0.841	0.932	1.049	1.105	1.234	1.272	1.294	1.331
20.253	0.717	0.707	0.705	0.7	0.689	0.697	0.701	0.696	0.703	0.709	0.701	0.708	0.717	0.714	0.737	0.77	0.841	0.933	1.047	1.105	1.236	1.273	1.292	1.331
20.258	0.714	0.704	0.704	0.698	0.692	0.696	0.703	0.696	0.702	0.71	0.7	0.706	0.719	0.714	0.738	0.771	0.843	0.932	1.05	1.106	1.234	1.273	1.295	1.332
20.356	0.713	0.704	0.704	0.701	0.691	0.697	0.702	0.695	0.701	0.707	0.699	0.704	0.722	0.715	0.738	0.771	0.842	0.933	1.053	1.104	1.235	1.273	1.297	1.333
20.365	0.717	0.706	0.703	0.7	0.689	0.699	0.703	0.695	0.703	0.708	0.702	0.705	0.72	0.714	0.735	0.771	0.841	0.932	1.051	1.105	1.234	1.274	1.292	1.334
20.479	0.715	0.707	0.704	0.698	0.691	0.694	0.701	0.696	0.703	0.708	0.7	0.706	0.718	0.712	0.737	0.771	0.843	0.932	1.048	1.105	1.234	1.274	1.29	1.332
20.485	0.715	0.704	0.703	0.7	0.69	0.699	0.703	0.695	0.702	0.707	0.699	0.706	0.72	0.715	0.737	0.768	0.839	0.931	1.05	1.102	1.236	1.274	1.29	1.337
20.611	0.715	0.704	0.702	0.698	0.69	0.697	0.699	0.695	0.7	0.71	0.699	0.706	0.719	0.715	0.735	0.771	0.841	0.933	1.05	1.105	1.235	1.271	1.293	1.331
20.619	0.714	0.704	0.703	0.699	0.691	0.696	0.701	0.694	0.701	0.709	0.7	0.704	0.718	0.716	0.737	0.771	0.842	0.93	1.051	1.103	1.236	1.272	1.295	1.333
20.761	0.715	0.704	0.703	0.699	0.691	0.697	0.701	0.697	0.701	0.709	0.701	0.705	0.719	0.715	0.736	0.769	0.843	0.931	1.046	1.103	1.236	1.272	1.292	1.33
20.77	0.714	0.704	0.704	0.698	0.689	0.694	0.703	0.696	0.702	0.708	0.699	0.706	0.719	0.715	0.736	0.769	0.844	0.93	1.05	1.103	1.235	1.27	1.291	1.333
20.922	0.715	0.703	0.701	0.7	0.689	0.697	0.702	0.694	0.701	0.709	0.7	0.704	0.72	0.714	0.736	0.771	0.84	0.931	1.048	1.104	1.232	1.271	1.293	1.332
